Date,Open,High,Low,Close,Adj Close,Volume
2017-07-24,1385.800049,1391.949951,1375.000000,1388.949951,1388.949951,580661
2017-07-25,1191.199951,1396.099976,1386.300049,1389.800049,1389.800049,720938
2017-07-26,1290.699951,1420.199951,1389.050049,1413.500000,1413.500000,1267793
2017-07-27,1220.000000,1423.750000,1395.000000,1398.199951,1398.199951,1933565
2017-07-28,1298.000000,1398.000000,1376.250000,1392.199951,1392.199951,401658
2017-07-31,1393.300049,1409.000000,1380.099976,1403.300049,1403.300049,510904
2017-08-01,1315.000000,1433.400024,1403.300049,1429.250000,1429.250000,1941740
2017-08-02,1230.599976,1433.650024,1408.300049,1414.599976,1414.599976,476469
2017-08-03,1118.400024,1421.650024,1404.099976,1416.500000,1416.500000,563019
2017-08-04,1420.000000,1424.400024,1395.099976,1418.050049,1418.050049,2237324
2017-08-07,1090.000000,1430.000000,1384.949951,1400.750000,1400.750000,1493977
2017-08-08,1330.050049,1416.550049,1390.250000,1400.000000,1400.000000,852827
2017-08-09,1397.500000,1406.599976,1384.400024,1392.300049,1392.300049,771111
2017-08-10,1786.000000,1395.800049,1380.000000,1387.050049,1387.050049,816173
2017-08-11,1780.000000,1386.099976,1340.000000,1348.050049,1348.050049,1126510
2017-08-14,1554.699951,1370.900024,1347.599976,1355.750000,1355.750000,685342
2017-08-16,1455.750000,1376.449951,1348.349976,1371.199951,1371.199951,744908
2017-08-17,1472.000000,1374.949951,1358.599976,1367.000000,1367.000000,611537
2017-08-18,1464.000000,1379.500000,1360.650024,1370.000000,1370.000000,678855
2017-08-21,1470.199951,1392.949951,1370.150024,1378.650024,1378.650024,702542
2017-08-22,1382.699951,1385.800049,1371.000000,1374.650024,1374.650024,292349
2017-09-15,1290.000000,1304.000000,1285.000000,1294.250000,1294.250000,840187
2017-09-18,1301.000000,1306.199951,1291.000000,1295.000000,1295.000000,651221
2017-09-19,1304.000000,1304.699951,1288.099976,1294.750000,1294.750000,487526
2017-09-20,1300.099976,1306.199951,1289.599976,1292.449951,1292.449951,838237
2017-09-21,1293.500000,1296.650024,1280.099976,1291.449951,1291.449951,485105
2017-09-22,1288.000000,1297.000000,1281.550049,1287.150024,1287.150024,858496
2017-09-25,1282.599976,1292.000000,1246.000000,1260.000000,1260.000000,1145208
2017-09-26,1265.300049,1265.449951,1242.349976,1247.150024,1247.150024,657247
2017-09-27,1253.000000,1255.400024,1224.000000,1232.000000,1232.000000,710275
2017-09-28,1232.000000,1249.000000,1225.000000,1230.550049,1230.550049,1541084
2017-09-29,1231.000000,1260.500000,1231.000000,1254.250000,1254.250000,1216715
2017-10-03,1254.250000,1291.449951,1252.750000,1264.300049,1264.300049,1785354
2017-10-04,1264.000000,1291.800049,1256.250000,1288.750000,1288.750000,1178243
2017-10-05,1310.000000,1316.000000,1293.000000,1300.750000,1300.750000,2106398
2017-10-06,1309.900024,1321.199951,1299.250000,1303.000000,1303.000000,912947
2017-10-09,1301.050049,1312.900024,1299.000000,1304.849976,1304.849976,417682
2017-10-10,1318.000000,1319.000000,1301.150024,1305.099976,1305.099976,693721
2017-10-11,1309.000000,1330.250000,1306.000000,1319.449951,1319.449951,1642780
2017-10-12,1320.250000,1341.599976,1314.150024,1338.150024,1338.150024,824166
2017-10-13,1338.000000,1345.650024,1323.000000,1325.300049,1325.300049,541640
2017-10-16,1338.900024,1375.900024,1330.300049,1368.599976,1368.599976,1170290
2017-10-17,1373.900024,1375.500000,1343.500000,1373.349976,1373.349976,1023744
2017-11-16,1415.050049,1426.000000,1408.000000,1413.949951,1413.949951,872446
2017-11-17,1425.000000,1425.000000,1412.000000,1416.750000,1416.750000,1448440
2017-11-20,1419.750000,1420.050049,1400.099976,1408.000000,1408.000000,1264801
2017-11-21,1420.000000,1422.000000,1408.199951,1416.000000,1416.000000,853763
2017-11-22,1424.000000,1441.800049,1419.599976,1429.500000,1429.500000,1439617
2017-11-23,1434.400024,1434.400024,1412.550049,1418.650024,1418.650024,490011
2017-11-24,1425.000000,1439.900024,1420.050049,1434.099976,1434.099976,966558
2017-11-27,1435.000000,1444.000000,1425.050049,1431.000000,1431.000000,867582
2017-11-28,1432.650024,1441.449951,1426.800049,1435.000000,1435.000000,743580
2017-11-29,1438.949951,1443.099976,1430.000000,1433.400024,1433.400024,691787
2017-11-30,1430.000000,1430.000000,1400.550049,1406.550049,1406.550049,2683675
2017-12-01,1414.000000,1426.949951,1406.000000,1409.400024,1409.400024,1077343
2017-12-04,1420.000000,1420.000000,1392.750000,1401.000000,1401.000000,1462814
2017-12-05,1400.000000,1409.349976,1383.000000,1388.199951,1388.199951,1299621
2017-12-06,1387.000000,1392.400024,1363.449951,1367.449951,1367.449951,1184822
2017-12-07,1376.800049,1382.500000,1368.099976,1379.550049,1379.550049,1556860
2017-12-08,1386.699951,1393.650024,1379.400024,1388.150024,1388.150024,1199696
2017-12-11,1395.849976,1427.849976,1392.500000,1418.250000,1418.250000,1323321
2017-12-12,1419.800049,1428.500000,1411.099976,1419.150024,1419.150024,1406120
2017-12-13,1421.800049,1432.000000,1410.000000,1412.500000,1412.500000,1893574
2017-12-14,1417.000000,1436.000000,1413.000000,1431.599976,1431.599976,2752965
2017-12-15,1442.500000,1490.000000,1441.000000,1483.400024,1483.400024,3552757
